year,species_code,comp_type,base_iss_age,sub_iss_age,sub_samp,region
2018,30051,male,4.799363593508256,3.457742500563366,a50,ai
2018,30051,total,5.6583230538239215,5.510021982977696,a50,ai
2018,30052,female,50.92211054682446,32.55349973948369,a50,ai
2018,30052,male,51.07867776779501,31.916905718258143,a50,ai
2018,30052,total,95.76323863905246,61.52299572535245,a50,ai
2018,30060,female,166.64904304008178,104.98975968726742,a50,ai
2018,30060,male,231.34231260509512,147.50903780248296,a50,ai
2018,30060,total,375.0988786336442,243.15764934032345,a50,ai
2018,30420,female,154.7531684850486,100.41264049776608,a50,ai
2018,30420,male,87.4884428968749,55.956206846765824,a50,ai
2018,30420,total,244.4329487521593,158.22446304588908,a50,ai
2014,10110,female,76.03523012878532,63.954293208321594,a75,ai
2014,10110,male,47.13836460076949,40.67731542449774,a75,ai
2014,10110,total,116.45862284716078,99.60735793238258,a75,ai
2014,21720,female,100.311627504426,85.21461871591437,a75,ai
2014,21720,male,108.72369810270386,91.88358292328952,a75,ai
2014,21720,total,157.036382131786,135.6691441655333,a75,ai
2014,21740,female,7.125104144836444,7.0157140835508,a75,ai
2014,21740,male,7.5701500040988225,7.305004451749604,a75,ai
2014,21740,total,7.567801070475052,7.436779319516692,a75,ai
2014,21921,female,57.76498702184299,50.1576256364074,a75,ai
2014,21921,male,49.9618356767513,45.86022374774467,a75,ai
2014,21921,total,77.1854835621046,70.86160538217224,a75,ai
2014,30051,female,3.2796272836546763,2.8628060836126883,a75,ai
2014,30051,male,5.480249184510141,4.6126658628184245,a75,ai
2014,30051,total,5.715830471659926,5.000089540502082,a75,ai
2014,30052,female,67.386537183966,57.31878064654213,a75,ai
2014,30052,male,74.45202301043598,64.6659576673789,a75,ai
2014,30052,total,132.48038841845292,114.5893748184664,a75,ai
2014,30060,female,140.60611147992125,124.905290636574,a75,ai
2014,30060,male,142.14718574827333,122.13909847521342,a75,ai
2014,30060,total,230.64235357910567,203.19308899633063,a75,ai
2014,30420,female,82.13365997518933,70.56265107805919,a75,ai
2014,30420,male,73.66964374730718,63.04421707500272,a75,ai
2014,30420,total,141.42590736319062,122.77968795595592,a75,ai
2016,10110,female,141.9292992567346,116.34523477922704,a75,ai
2016,10110,male,51.3295823572556,43.44684252380355,a75,ai
2016,10110,total,132.60823050396178,113.63216528288255,a75,ai
2016,10112,female,70.53798182562124,60.79562832283695,a75,ai
2016,10112,male,65.5128960187254,58.23071531920595,a75,ai
2016,10112,total,102.64523440786694,92.4960822736623,a75,ai
2016,21720,female,102.30619858989036,87.66904920259768,a75,ai
2016,21720,male,110.31250307556311,93.54497571037048,a75,ai
2016,21720,total,149.9989767310525,129.5133865370435,a75,ai
2016,21740,female,49.322591706517635,46.914332663033974,a75,ai
2016,21740,male,18.95725262890435,18.44188763289101,a75,ai
2016,21740,total,33.00587573631412,32.21773963052295,a75,ai
2016,21921,female,27.23904872275015,24.89076833579857,a75,ai
2016,21921,male,35.949082255053554,31.46093751606556,a75,ai
2016,21921,total,41.896751766726325,39.07143952491493,a75,ai
2016,30052,female,53.22656563541645,44.350930073707275,a75,ai
2016,30052,male,59.63803684940897,49.541240370299555,a75,ai
2016,30052,total,109.34822366768483,91.9288174932907,a75,ai
2016,30060,female,200.3582441700071,169.51458566272697,a75,ai
2016,30060,male,261.8682901799553,221.65122961051756,a75,ai
2016,30060,total,426.9289229028626,365.1588346960954,a75,ai
2016,30420,female,150.0048529572467,126.08235012525309,a75,ai
2016,30420,male,69.67320995467621,58.99418092402275,a75,ai
2016,30420,total,208.32516145014165,177.441136006251,a75,ai
2018,10110,female,133.3663109502464,111.38583678429708,a75,ai
2018,10110,male,93.1586716780369,77.20712607145214,a75,ai
2018,10110,total,195.58084182920948,162.65172125394037,a75,ai
2018,10112,female,89.99682049296905,79.30850090047632,a75,ai
2018,10112,male,78.58854342506352,71.94676857575153,a75,ai
2018,10112,total,122.85118290810306,112.9677027169413,a75,ai
2018,21720,female,135.665123462143,107.77568473952348,a75,ai
2018,21720,male,123.2329584148572,99.35413722605318,a75,ai
2018,21720,total,202.03304527012108,164.00824921847635,a75,ai
2018,21740,female,112.52141610586132,103.37890741894856,a75,ai
2018,21740,male,60.24494441911565,53.98257331162959,a75,ai
2018,21740,total,104.49540962374368,97.7908602316947,a75,ai
